/* DATA DESCRIPTION:
Citation:	Lu, Jing-Zhong; Scheu, Stefan (2022): RTG 2300 - Soil microarthropods (Collembola, Insecta) in current and future forest stands of Central Europe. PANGAEA, https://doi.org/10.1594/PANGAEA.944669, 
	In: Ammer, Christian; Annighöfer, Peter; Balkenhol, Niko; Hertel, Dietrich; Leuschner, Christoph; Polle, Andrea; Lamersdorf, Norbert; Scheu, Stefan; Glatthorn, Jonas (2020): RTG 2300 - Enrichment of European beech forests with conifers. PANGAEA, https://doi.org/10.1594/PANGAEA.925228
Abstract:	Collembola in soil play vital roles in ecosystem functioning. To understand the effects of forest management effects on soil Collembola, we sampled Collembola from five forest types replicated at eight sites. Animals were sampled by using a soil corer (ø 5 cm) between November 2017 and January 2018. One soil core was taken in each of the 40 forest stands with the samples taken between trees of the same (pure stands) or different species (mixed stands). Each site comprised three pure stands of European beech (Fagus sylvatica L.), Norway spruce (Picea abies [L.] Karst.) and Douglas fir (Pseudotsuga menziesii (Mirbel) Franco.) as well as two beech–conifer mixtures (European beech/Douglas fir and European beech/Norway spruce). Samples were separated into litter and 0–5 and 5–10 cm soil depth. Springtails were extracted using high-gradient heat extraction. Collembola were collected in 50 % diethylene glycol and then transferred into 70 % ethanol. Springtails were identified using the keys of Gisin (1960), Fjellberg (1998, 2007) and Hopkin (2007). Numbers of Collembola in the three sample depths were summed up. The data record their abundance and community structure in temperate forests of Central Europe.
Keyword(s):	biodiversity - ecosystem functioning; Douglas fir; European beech; forest soil; mixed forests; Norway spruce; springtails
Related to:	Ammer, Christian; Annighöfer, Peter; Balkenhol, Niko; Hertel, Dietrich; Leuschner, Christoph; Polle, Andrea; Lamersdorf, Norbert; Scheu, Stefan; Glatthorn, Jonas (2020): RTG 2300 - Study design, location, topography and climatic conditions of research plots in 2020. PANGAEA, https://doi.org/10.1594/PANGAEA.923125
Further details:	Fjellberg, Arne (1998): The Collembola of Fennoscandia and Denmark, Part I: Poduromorpha, Fauna Entomologica Scandinavica. Brill Academic PUB
	Fjellberg, Arne (2007): The Collembola of Fennoscandia and Denmark, Part II: Entomobryomorpha and symphypleona, Fauna Entomologica Scandinavica. Brill Academic PUB
	Gisin, Hermann (1960): Collembolenfauna Europas. Museum d'histoire naturelle, 312 pp
	Hopkin, Steve P (2007): A key to the Collembola (springtails) of Britain and Ireland. Field Studies Council (FSC)
Project(s):	Enrichment of European beech forests with conifers (RTG2300) (URI: https://www.uni-goettingen.de/de/524600.html)
Funding:	Deutsche Forschungsgemeinschaft, Bonn (DFG) (URI: http://www.dfg.de/en/), grant/award no. 316045089 (URI: https://gepris.dfg.de/gepris/projekt/316045089)
Coverage:	MEDIAN LATITUDE: 52.330292 * MEDIAN LONGITUDE: 10.053434 * SOUTH-BOUND LATITUDE: 51.664759 * WEST-BOUND LONGITUDE: 9.281230 * NORTH-BOUND LATITUDE: 53.201222 * EAST-BOUND LONGITUDE: 10.813566
	DATE/TIME START: 2017-11-22T00:00:00 * DATE/TIME END: 2018-01-05T00:00:00
	MINIMUM ELEVATION: 92.0000000 m a.s.l. * MAXIMUM ELEVATION: 510.8000000 m a.s.l.
Event(s):	Dassel * LATITUDE: 51.725459 * LONGITUDE: 9.703892 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Goehrde_I * LATITUDE: 53.201222 * LONGITUDE: 10.800878 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Goehrde_II * LATITUDE: 53.126535 * LONGITUDE: 10.813566 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Harz * LATITUDE: 51.770183 * LONGITUDE: 10.397192 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Nienburg * LATITUDE: 52.620803 * LONGITUDE: 9.281230 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Nienover * LATITUDE: 51.696624 * LONGITUDE: 9.528585 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Unterluess * LATITUDE: 52.836752 * LONGITUDE: 10.330936 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
	Winnefeld * LATITUDE: 51.664759 * LONGITUDE: 9.571193 * LOCATION: Germany * CAMPAIGN: RTG2300-I * METHOD/DEVICE: Visual identification (VID)
Parameter(s):	Event label (Event) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de)
	Latitude of event (Latitude) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de)
	Longitude of event (Longitude) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de)
	ELEVATION [m a.s.l.] (Elevation) * GEOCODE * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de)
	DATE/TIME (Date/Time) * GEOCODE * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de) * COMMENT: Sampling date
	Plot (Plot) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de)
	Identification (ID) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de) * COMMENT: Quintet
	Identification (ID) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de) * COMMENT: Forest ID
	Species (Species) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de)
	Collembola, abundance [#] (Collembola abund) * PI: Lu, Jing-Zhong (https://orcid.org/0000-0002-4051-8993, jlu@gwdg.de) * METHOD/DEVICE: see description in data abstract
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	5200 data points
*/
Event	Latitude	Longitude	Elevation [m a.s.l.]	Date/Time (Sampling date)	Plot	ID (Quintet)	ID (Forest ID)	Species	Collembola abund [#]
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.1	1	1	Ceratophysella denticulata (Bagnall, 1941)	2
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.1	2	1	Ceratophysella denticulata (Bagnall, 1941)	6
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.1a	3	1	Ceratophysella denticulata (Bagnall, 1941)	0
Nienover	51.6966	9.5286	323.3675705	2017-11-22	4.1	4	1	Ceratophysella denticulata (Bagnall, 1941)	0
Nienburg	52.6208	9.2812	92.0000000	2017-12-05	5.1	5	1	Ceratophysella denticulata (Bagnall, 1941)	0
Unterluess	52.8368	10.3309	161.2000000	2017-12-11	6.1	6	1	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_II	53.1265	10.8136	129.8000000	2017-12-12	7.1	7	1	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_I	53.2012	10.8009	120.0000000	2017-12-12	8.1	8	1	Ceratophysella denticulata (Bagnall, 1941)	0
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.2	1	2	Ceratophysella denticulata (Bagnall, 1941)	3
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.2	2	2	Ceratophysella denticulata (Bagnall, 1941)	0
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.2a	3	2	Ceratophysella denticulata (Bagnall, 1941)	1
Nienover	51.6966	9.5286	323.3675705	2017-11-22	4.2a	4	2	Ceratophysella denticulata (Bagnall, 1941)	0
Nienburg	52.6208	9.2812	92.0000000	2017-12-05	5.2	5	2	Ceratophysella denticulata (Bagnall, 1941)	11
Unterluess	52.8368	10.3309	161.2000000	2017-12-11	6.2	6	2	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_II	53.1265	10.8136	129.8000000	2017-12-12	7.2	7	2	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_I	53.2012	10.8009	120.0000000	2017-12-12	8.2	8	2	Ceratophysella denticulata (Bagnall, 1941)	0
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.3	1	3	Ceratophysella denticulata (Bagnall, 1941)	2
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.3	2	3	Ceratophysella denticulata (Bagnall, 1941)	2
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.3	3	3	Ceratophysella denticulata (Bagnall, 1941)	0
Nienover	51.6966	9.5286	323.3675705	2017-11-22	4.3	4	3	Ceratophysella denticulata (Bagnall, 1941)	7
Nienburg	52.6208	9.2812	92.0000000	2017-12-05	5.3	5	3	Ceratophysella denticulata (Bagnall, 1941)	0
Unterluess	52.8368	10.3309	161.2000000	2017-12-11	6.3	6	3	Ceratophysella denticulata (Bagnall, 1941)	8
Goehrde_II	53.1265	10.8136	129.8000000	2017-12-12	7.3	7	3	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_I	53.2012	10.8009	120.0000000	2017-12-12	8.3	8	3	Ceratophysella denticulata (Bagnall, 1941)	0
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.4	1	4	Ceratophysella denticulata (Bagnall, 1941)	0
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.4	2	4	Ceratophysella denticulata (Bagnall, 1941)	0
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.4	3	4	Ceratophysella denticulata (Bagnall, 1941)	0
Nienover	51.6966	9.5286	323.3675705	2017-11-22	4.4a	4	4	Ceratophysella denticulata (Bagnall, 1941)	7
Nienburg	52.6208	9.2812	92.0000000	2017-12-05	5.4	5	4	Ceratophysella denticulata (Bagnall, 1941)	0
Unterluess	52.8368	10.3309	161.2000000	2017-12-11	6.4	6	4	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_II	53.1265	10.8136	129.8000000	2017-12-12	7.4	7	4	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_I	53.2012	10.8009	120.0000000	2017-12-12	8.4	8	4	Ceratophysella denticulata (Bagnall, 1941)	0
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.5	1	5	Ceratophysella denticulata (Bagnall, 1941)	1
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.5a	2	5	Ceratophysella denticulata (Bagnall, 1941)	0
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.5a	3	5	Ceratophysella denticulata (Bagnall, 1941)	1
Nienover	51.6966	9.5286	323.3675705	2017-11-22	4.5a	4	5	Ceratophysella denticulata (Bagnall, 1941)	0
Nienburg	52.6208	9.2812	92.0000000	2017-12-05	5.5	5	5	Ceratophysella denticulata (Bagnall, 1941)	2
Unterluess	52.8368	10.3309	161.2000000	2017-12-11	6.5	6	5	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_II	53.1265	10.8136	129.8000000	2017-12-12	7.5	7	5	Ceratophysella denticulata (Bagnall, 1941)	0
Goehrde_I	53.2012	10.8009	120.0000000	2017-12-12	8.5	8	5	Ceratophysella denticulata (Bagnall, 1941)	0
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.1	1	1	Desoria violacea Tullberg, 1876	0
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.1	2	1	Desoria violacea Tullberg, 1876	2
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.1a	3	1	Desoria violacea Tullberg, 1876	0
Nienover	51.6966	9.5286	323.3675705	2017-11-22	4.1	4	1	Desoria violacea Tullberg, 1876	0
Nienburg	52.6208	9.2812	92.0000000	2017-12-05	5.1	5	1	Desoria violacea Tullberg, 1876	0
Unterluess	52.8368	10.3309	161.2000000	2017-12-11	6.1	6	1	Desoria violacea Tullberg, 1876	0
Goehrde_II	53.1265	10.8136	129.8000000	2017-12-12	7.1	7	1	Desoria violacea Tullberg, 1876	0
Goehrde_I	53.2012	10.8009	120.0000000	2017-12-12	8.1	8	1	Desoria violacea Tullberg, 1876	0
Harz	51.7702	10.3972	510.8000000	2018-01-05	1.2	1	2	Desoria violacea Tullberg, 1876	0
Dassel	51.7255	9.7039	426.1693999	2017-11-23	2.2	2	2	Desoria violacea Tullberg, 1876	0
Winnefeld	51.6648	9.5712	349.0645198	2017-11-22	3.2a	3	2	Desoria violacea Tullberg, 1876	0
